"Date","Price","Open","High","Low","Vol","Change"
"Dec 10, 2015","415.5","416.0","420.4","409.5","71.660","-0.12%"
"Dec 09, 2015","416.0","410.7","424.6","403.3","147.360","1.30%"
"Dec 08, 2015","410.7","394.3","411.1","388.0","74.360","4.16%"
"Dec 07, 2015","394.3","393.4","398.7","381.7","96.750","0.23%"
"Dec 06, 2015","393.4","386.7","402.2","382.6","131.860","1.73%"
"Dec 05, 2015","386.7","361.7","390.3","361.5","115.200","6.92%"
"Dec 04, 2015","361.7","360.3","364.0","354.3","60.550","0.38%"
"Dec 03, 2015","360.3","360.0","371.4","355.5","87.230","0.09%"
"Dec 02, 2015","360.0","361.8","363.4","347.2","92.450","-0.50%"
"Dec 01, 2015","361.8","378.0","379.0","353.7","111.910","-4.28%"
"Nov 30, 2015","378.0","370.8","382.6","367.9","129.770","1.92%"
"Nov 29, 2015","370.8","355.8","372.8","354.5","67.370","4.22%"
"Nov 28, 2015","355.8","359.5","360.1","350.5","56.170","-1.03%"
"Nov 27, 2015","359.5","353.7","363.9","345.1","103.480","1.63%"
"Nov 26, 2015","353.7","327.5","368.9","327.4","211.380","8.01%"
"Nov 25, 2015","327.5","318.4","330.0","315.7","77.680","2.88%"
"Nov 24, 2015","318.4","322.1","323.3","315.5","50.660","-1.17%"
"Nov 23, 2015","322.1","322.8","325.0","319.9","42.730","-0.20%"
"Nov 22, 2015","322.8","324.7","326.9","319.4","36.750","-0.59%"
"Nov 21, 2015","324.7","321.1","328.4","318.4","45.000","1.11%"
"Nov 20, 2015","321.1","325.0","327.1","309.5","109.990","-1.19%"
"Nov 19, 2015","325.0","335.9","335.6","323.4","86.380","-3.26%"
"Nov 18, 2015","335.9","333.9","337.4","329.4","78.360","0.60%"
"Nov 17, 2015","333.9","330.2","342.9","328.1","98.250","1.12%"
"Nov 16, 2015","330.2","317.5","332.0","314.1","87.140","4.02%"
"Nov 15, 2015","317.5","331.8","334.8","314.2","88.320","-4.32%"
"Nov 14, 2015","331.8","333.8","369.8","326.4","71.110","-0.60%"
"Nov 13, 2015","333.8","333.9","341.8","323.9","97.250","-0.02%"
"Nov 12, 2015","333.9","304.7","346.1","306.1","164.610","9.56%"
"Nov 11, 2015","304.7","336.7","341.8","292.4","263.960","-9.50%"
"Nov 10, 2015","336.7","380.2","381.4","323.2","210.290","-11.45%"
"Nov 09, 2015","380.2","371.6","385.1","360.2","125.540","2.33%"
"Nov 08, 2015","371.6","385.1","389.8","365.5","94.360","-3.51%"
"Nov 07, 2015","385.1","369.8","391.8","369.0","103.030","4.13%"
"Nov 06, 2015","369.8","382.7","396.4","348.8","255.280","-3.37%"
"Nov 05, 2015","382.7","400.9","447.2","366.1","302.950","-4.54%"
"Nov 04, 2015","400.9","396.5","492.8","368.6","517.730","1.11%"
"Nov 03, 2015","396.5","359.3","416.8","354.6","421.990","10.36%"
"Nov 02, 2015","359.3","323.0","365.8","319.8","223.100","11.25%"
"Nov 01, 2015","323.0","311.2","324.3","304.7","73.710","3.76%"
"Oct 31, 2015","311.2","327.1","333.3","304.6","105.830","-4.85%"
"Oct 30, 2015","327.1","313.6","334.9","310.8","156.490","4.30%"
"Oct 29, 2015","313.6","303.5","318.5","300.2","138.920","3.32%"
"Oct 28, 2015","303.5","294.7","307.5","294.0","116.410","3.01%"
"Oct 27, 2015","294.7","285.1","298.4","285.1","105.870","3.34%"
"Oct 26, 2015","285.1","287.9","287.6","279.6","73.210","-0.94%"
"Oct 25, 2015","287.9","282.6","295.6","281.8","113.900","1.88%"
"Oct 24, 2015","282.6","276.9","283.0","277.0","60.130","2.04%"
"Oct 23, 2015","276.9","274.4","279.8","273.2","69.320","0.91%"
"Oct 22, 2015","274.4","267.1","278.7","266.8","93.150","2.74%"
"Oct 21, 2015","267.1","269.8","272.2","263.5","59.640","-0.98%"
"Oct 20, 2015","269.8","263.8","272.1","262.7","75.400","2.25%"
"Oct 19, 2015","263.8","261.7","266.0","259.9","58.170","0.82%"
"Oct 18, 2015","261.7","269.6","272.4","259.5","52.270","-2.93%"
"Oct 17, 2015","269.6","262.9","275.4","261.7","113.840","2.55%"
"Oct 16, 2015","262.9","254.4","267.3","253.9","95.180","3.31%"
"Oct 15, 2015","254.4","252.3","256.8","251.2","60.640","0.84%"
"Oct 14, 2015","252.3","248.8","255.1","248.3","69.580","1.43%"
"Oct 13, 2015","248.8","245.4","251.2","243.1","74.880","1.40%"
"Oct 12, 2015","245.4","247.6","248.0","244.6","40.390","-0.93%"
"Oct 11, 2015","247.6","245.4","248.3","244.5","41.430","0.94%"
"Oct 10, 2015","245.4","244.0","245.9","242.9","38.960","0.54%"
"Oct 09, 2015","244.0","242.6","244.6","241.3","40.570","0.60%"
"Oct 08, 2015","242.6","243.0","244.8","241.6","44.150","-0.16%"
"Oct 07, 2015","243.0","246.1","247.3","241.6","62.600","-1.28%"
"Oct 06, 2015","246.1","240.1","247.6","239.4","78.840","2.49%"
"Oct 05, 2015","240.1","238.3","240.5","236.4","61.240","0.76%"
"Oct 04, 2015","238.3","238.6","277.6","237.5","31.850","-0.10%"
"Oct 03, 2015","238.6","236.7","239.5","236.1","43.310","0.79%"
"Oct 02, 2015","236.7","237.1","238.4","235.1","47.940","-0.14%"
"Oct 01, 2015","237.1","235.9","238.7","234.7","52.880","0.47%"
"Sep 30, 2015","235.9","236.7","237.8","234.4","50.520","-0.33%"
"Sep 29, 2015","236.7","238.9","240.4","234.8","57.300","-0.90%"
"Sep 28, 2015","238.9","232.5","240.4","232.4","64.280","2.74%"
"Sep 27, 2015","232.5","234.3","234.8","231.8","36.140","-0.77%"
"Sep 26, 2015","234.3","235.0","235.7","232.7","40.290","-0.31%"
"Sep 25, 2015","235.0","233.8","237.6","232.7","61.580","0.54%"
"Sep 24, 2015","233.8","229.9","235.8","229.6","72.120","1.68%"
"Sep 23, 2015","229.9","230.0","232.2","228.5","43.600","-0.05%"
"Sep 22, 2015","230.0","226.3","233.2","224.1","71.550","1.63%"
"Sep 21, 2015","226.3","231.1","231.6","225.0","53.430","-2.06%"
"Sep 20, 2015","231.1","231.1","232.7","229.9","33.150","0.00%"
"Sep 19, 2015","231.1","232.2","233.4","230.2","34.470","-0.47%"
"Sep 18, 2015","232.2","232.7","234.7","230.6","53.170","-0.22%"
"Sep 17, 2015","232.7","228.6","235.2","227.9","56.060","1.80%"
"Sep 16, 2015","228.6","229.5","230.9","225.1","51.910","-0.41%"
"Sep 15, 2015","229.5","229.9","242.8","228.0","49.520","-0.17%"
"Sep 14, 2015","229.9","230.2","232.6","226.0","61.100","-0.12%"
"Sep 13, 2015","230.2","235.6","236.2","228.3","51.600","-2.30%"
"Sep 12, 2015","235.6","239.9","240.3","233.3","43.770","-1.79%"
"Sep 11, 2015","239.9","238.1","241.0","237.4","45.770","0.76%"
"Sep 10, 2015","238.1","237.4","240.6","234.3","60.540","0.28%"
"Sep 09, 2015","237.4","243.2","244.3","236.5","69.260","-2.40%"
"Sep 08, 2015","243.2","239.6","246.4","239.2","76.350","1.53%"
"Sep 07, 2015","239.6","239.9","242.7","237.5","57.190","-0.12%"
"Sep 06, 2015","239.9","233.7","243.6","234.7","66.270","2.65%"
"Sep 05, 2015","233.7","230.3","235.6","228.3","48.280","1.49%"
"Sep 04, 2015","230.3","226.2","231.1","225.8","61.760","1.79%"
"Sep 03, 2015","226.2","228.6","229.6","225.4","54.150","-1.06%"
"Sep 02, 2015","228.6","227.2","230.6","225.6","58.770","0.64%"
"Sep 01, 2015","227.2","229.5","231.4","225.8","66.540","-1.00%"
